ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . you definitely will not be disappointed , it is worth the trip from manhattan . ##### IAEO
ASPECT: beer, beer. CATEGORY: drinks quality, drinks quality. OPINION: , and. SENTIMENT: positive, positive #####  . my wife had a beer , and i had a beer , and they were both great . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . we will never return . ##### IAIO
ASPECT: scooner or later. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . . . will prob ' not go back on the scooner or later . ##### EAIO
ASPECT: service. CATEGORY: service general. OPINION: quick. SENTIMENT: positive #####  . the service was quick . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: disappointed. SENTIMENT: negative #####  . i was really looking forward to trying it out and was very disappointed . ##### IAEO
ASPECT: food, salsa. CATEGORY: food quality, food quality. OPINION: fine, fine. SENTIMENT: positive, positive #####  . the food is fine , the salsa is fine . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  go back again . ##### IAIO
ASPECT: food, filet mignon. CATEGORY: food quality, food quality. OPINION: good, best. SENTIMENT: positive, positive #####  , positive ##### EAEO
ASPECT: italian restaurant, italian restaurant. CATEGORY: restaurant general, restaurant general. OPINION: wonderful, happy. SENTIMENT: positive, positive #####  . i came across this italian restaurant on a sunday afternoon and i ' m so glad i stumbled upon it . . . it was a wonderful experience - - i ' m even thinking of going back there for new years eve . . . happy new year ! ##### EAEO
ASPECT: place, pizza, coffee. CATEGORY: ambience general, food quality, food quality. OPINION: cool, best, best. SENTIMENT: positive, positive, positive #####  . this is a cool place to hang out , have pizza and coffee , and the best you ca n ' t go wrong with pizza or coffee . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: neutral #####  , i ' d go back again but i would n ' t go out of my way to do so . ##### IAIO
ASPECT: fish. CATEGORY: food styleoptions. OPINION: wide. SENTIMENT: positive #####  . fish comes with a wide variety of sides to choose from . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: compliment. SENTIMENT: positive #####  . keep up the complimentary dishes ! ##### IAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . we were n ' t offered any explanation . ##### IAIO
ASPECT: selection of sakes. CATEGORY: drinks styleoptions. OPINION: great. SENTIMENT: positive #####  . . . there is a great selection of sakes . ##### EAEO
ASPECT: sound views. CATEGORY: location general. OPINION: gorgeous. SENTIMENT: positive #####  . . . gorgeous sound views ##### EAEO
ASPECT: ingrediants. CATEGORY: food quality. OPINION: fresh. SENTIMENT: positive #####  . they use really fresh ingrediants . ##### EAEO
ASPECT: waiter. CATEGORY: service general. OPINION: non - existent. SENTIMENT: negative #####  . waiter ' s non - existent attitude made for a very unpleasant experience . ##### EAEO
ASPECT: manager. CATEGORY: service general. OPINION: disappointment. SENTIMENT: negative #####  . the manager was a huge disappointment . ##### EAEO
ASPECT: sushi, restaurant. CATEGORY: food quality, restaurant general. OPINION: freshest, love. SENTIMENT: positive, positive #####  . i love this restaurant for the freshest sushi i have ever had . ##### EAEO
ASPECT: rolls. CATEGORY: food quality. OPINION: complex. SENTIMENT: positive #####  . the rolls are a complex , wonderful combination of flavors and textures . ##### EAEO
ASPECT: enchiladas, chicken soup. CATEGORY: food quality, food quality. OPINION: love, love. SENTIMENT: positive, positive #####  . i love the enchiladas and the chicken soup . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: tasty. SENTIMENT: positive #####  . i was a little overwhelmed at first but everything tasted so good i kept going back for more . ##### IAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: perfection. SENTIMENT: positive #####  . it is perfection all the way around . ##### IAEO
ASPECT: regular menu, regular menu. CATEGORY: food quality, food quality. OPINION: above average, not worth. SENTIMENT: neutral, neutral #####  . on the regular menu , it ' s above average , but not worth a trip from manhattan . ##### EAEO
ASPECT: murphy ' s. CATEGORY: restaurant miscellaneous. OPINION: amazing. SENTIMENT: positive #####  . i ' ve been to murphys in manhattan and murphys in brooklyn , and the brooklyn location is amazing ! ##### EAEO
ASPECT: null. CATEGORY: restaurant prices. OPINION: reasonable. SENTIMENT: positive #####  . . . and i found the food to be very good - hearty and tasty - at very reasonable prices . ##### IAEO
ASPECT: service. CATEGORY: service general. OPINION: great. SENTIMENT: positive #####  . i was charged full price and the service was great . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: sad. SENTIMENT: negative #####  . i was so looking forward to trying this place , and i was so disappointed when i arrived that i was actually a bit sad . ##### IAEO
ASPECT: green tea creme brulee. CATEGORY: food quality. OPINION: better. SENTIMENT: positive #####  . mine was good , the green tea creme brulee was better . ##### EAEO
ASPECT: chicken curry, chicken tikka masala. CATEGORY: food quality, food quality. OPINION: favorite, favorite. SENTIMENT: positive, positive #####  . . . my favorite chicken curry and chicken tikka masala . ##### EAEO
ASPECT: sushi, sushi. CATEGORY: food prices, food quality. OPINION: n ' t the cheapest, worth. SENTIMENT: neutral, positive #####  : n ' t the cheapest sushi in new york , but worth the money . ##### EAEO
ASPECT: service. CATEGORY: service general. OPINION: stellar. SENTIMENT: positive #####  . service was stellar , ##### EAEO
ASPECT: tuna. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . the best tuna i have had in a long time . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  will not return ##### IAIO
ASPECT: miso soup. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . the miso soup was really good , the tempura was ok but the miso soup was really good . ##### EAIO
ASPECT: meal, fish on the omikase platter, fish on the omikase platter. CATEGORY: food quality, food quality, food quality. OPINION: great, decadent, perfect. SENTIMENT: positive, positive, positive #####  . my wife had the fish on the omikase platter and i had the fish on the omikase platter and it was great , decadent and perfect ! ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: good. SENTIMENT: positive #####  . i think the staff here really try to give good service . ##### IAEO
ASPECT: appetizer, creme brulee, creme brulee. CATEGORY: food quality, food quality, food quality. OPINION: interesting, savory, delicious. SENTIMENT: positive, positive, positive #####  . we found the appetizer of creme brulee to be interesting , savory and delicious . ##### EAEO
ASPECT: side of potatoes, labne  yogurt dip . CATEGORY: food quality, food quality. OPINION: die for, die for. SENTIMENT: positive, positive #####  . the labne yogurt dip is out of this world , the side of potatoes that comes with it is absolutely die for . ##### EAEO
ASPECT: management, waitstaff. CATEGORY: service general, service general. OPINION: null, null. SENTIMENT: negative, negative #####  i was with four other people and we all felt the same way : the management does n ' t care , the waitstaff does n ' t care . ##### EAIO
ASPECT: music, staff. CATEGORY: ambience general, service general. OPINION: awesome, great. SENTIMENT: positive, positive #####  . awesome music and the staff is great ! ##### EAEO
ASPECT: winelist. CATEGORY: drinks styleoptions. OPINION: best. SENTIMENT: positive #####  . try the winelist - the best in manhattan . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: snotty. SENTIMENT: negative #####  . be warned , the staff is snotty if you do n ' t look like you belong there . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: average. SENTIMENT: negative #####  . the food is just average . ##### EAEO
ASPECT: null, null. CATEGORY: restaurant prices, food styleoptions. OPINION: null, null. SENTIMENT: negative, negative #####  . there is no choice but to get the omakase . ##### IAIO
ASPECT: food, lunch. CATEGORY: food quality, food quality. OPINION: incredible, inconsistent. SENTIMENT: positive, negative #####  . . . the food is incredible for lunch , but a little inconsistent for dinner . ##### EAEO
ASPECT: staff. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  : what is with this staff ! ##### EAIO
ASPECT: place. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  you should check this place out . ##### EAIO
ASPECT: null, null, null, null. CATEGORY: food quality, food quality, ambience general, ambience general. OPINION: fresh, delicious, welcoming, relaxing. SENTIMENT: positive, positive, positive, positive #####  . the fresh fish is delicious , the place is welcoming and relaxing . ##### IAEO
ASPECT: null. CATEGORY: ambience general. OPINION: null. SENTIMENT: positive #####  the service is good , the decor is nice , and the food is good . ##### IAIO
ASPECT: pancakes, pancakes. CATEGORY: food styleoptions, food prices. OPINION: inventive, over - priced. SENTIMENT: positive, negative #####  . . . the pancakes are very inventive but a little over - priced . ##### EAEO
ASPECT: mioposto. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  : do n ' t waste your time or money on this place . ##### EAIO
ASPECT: place. CATEGORY: restaurant general. OPINION: not a bad. SENTIMENT: positive #####  . i ' ve been here several times , and i must say , i ' m glad i found this place . ##### EAEO
ASPECT: waiters. CATEGORY: service general. OPINION: nicest. SENTIMENT: positive #####  . the waiters are the nicest you will ever find . ##### EAEO
ASPECT: food, service. CATEGORY: food quality, service general. OPINION: best, phenominal. SENTIMENT: positive, positive #####  , positive . i have to say that the food was the best i have ever had , and the service was phenominal . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: fresh. SENTIMENT: positive #####  . great fish , fresh shrimp , and an amazing selection of oysters . ##### IAEO
ASPECT: exotic fish, plate. CATEGORY: food quality, food prices. OPINION: null, null. SENTIMENT: negative, negative #####  . this restaurant has a great selection of exotic fish , which is a shame because i have no idea what half the things on the plate are ! ##### EAIO
ASPECT: rice, tuna. CATEGORY: food quality, food quality. OPINION: dry, n ' t so fresh. SENTIMENT: negative, negative #####  . the rice was dry and the tuna was n ' t so fresh . ##### EAEO
ASPECT: chickpeas. CATEGORY: food quality. OPINION: good. SENTIMENT: positive #####  . my wife and i shared a plate of chickpeas which was very good . ##### EAEO
ASPECT: food, margaritas, waitress. CATEGORY: food quality, food quality, service general. OPINION: great, great, busy. SENTIMENT: positive, positive, negative #####  . i ' ve been there on a sunday afternoon , it ' s busy , the food and margaritas are great , the waitress ' s a bit busy , but that ' s ok , you ca n ' t have everything . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . the wait for our table was around 30 minutes . ##### IAIO
ASPECT: apps. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . i would go back just for the apps , especially the delicious crabmeat fritters . ##### EAEO
ASPECT: draft and bottle selection, pizza. CATEGORY: drinks styleoptions, food quality. OPINION: great, great. SENTIMENT: positive, positive #####  . . . the pizza is great the draft and bottle selection is also great . ##### EAEO
a large pepperoni ' s had a bit of crust left on it but we did n ' t mind because it was so thick and so yum . ##### EAEO
ASPECT: asparagus, asparagus. CATEGORY: food quality, food quality. OPINION: incredible, perfectly prepared. SENTIMENT: positive, positive #####  . incredible asparagus , perfectly prepared . ##### EAEO
ASPECT: sushi, restaurant. CATEGORY: food quality, restaurant prices. OPINION: good, moderately priced. SENTIMENT: negative, negative #####  , negative : the sushi is very good but moderately priced does not mean it should come with a side of attitude . ##### EAEO
ASPECT: manager. CATEGORY: service general. OPINION: disappointment. SENTIMENT: negative #####  . i recently had a major disappointment with the manager who was rude and disrespectful . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: impressed. SENTIMENT: positive #####  . we were very impressed . ##### IAEO
ASPECT: staff. CATEGORY: service general. OPINION: friendly. SENTIMENT: positive #####  . i ca n ' t remember the last time i had such a pleasant experience - - from the food to the staff ( especially the friendly staff who did n ' t make me feel like a dumb nose - - thank you ) . ##### EAEO
ASPECT: service. CATEGORY: service general. OPINION: great. SENTIMENT: positive #####  . great service . ##### EAEO
ASPECT: staff, decor, decor. CATEGORY: service general, ambience general, ambience general. OPINION: friendly, ethic, colorful. SENTIMENT: positive, positive, positive #####  . you will find it friendly and very ethic , colorful , warm and nice . . . . . . the decor , as well as the food is the best in the village . ##### EAEO
ASPECT: staff members. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . my experience was actually ruined by the fact that none of the staff members could answer 2 simple questions . ##### EAIO
ASPECT: selection, sushi. CATEGORY: food styleoptions, food styleoptions. OPINION: innovative, nice. SENTIMENT: positive, positive #####  . there is an innovative selection of sushi . ##### EAEO
ASPECT: breakfast. CATEGORY: food quality. OPINION: famous. SENTIMENT: positive #####  . it is famous for its breakfast . ##### EAEO
ASPECT: sushi. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . i had the sushi and it was delicious . ##### EAEO
ASPECT: location. CATEGORY: location general. OPINION: null. SENTIMENT: negative #####  . this place is okay , but i would not go back unless someone else insisted and the location was convenient . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  , you should come here . ##### IAIO
ASPECT: bartenders. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  . the bartenders do n ' t waste any time getting you what you need . ##### EAIO
ASPECT: dish. CATEGORY: food quality. OPINION: frustrated. SENTIMENT: negative #####  . i was so frustrated with this dish . ##### EAEO
ASPECT: staff, staff. CATEGORY: service general, service general. OPINION: nice, courteous. SENTIMENT: positive, positive #####  . the staff here are really nice and courteous , they make you feel like your at home . ##### EAEO
ASPECT: fish, fish. CATEGORY: food quality, food styleoptions. OPINION: excellent, excellent. SENTIMENT: positive, positive #####  . the fish was excellent , the fish and chips was excellent , the shrimp scampi was excellent . ##### EAEO
ASPECT: scooner or later. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . you are never sure if you are going to get a scooner or later . ##### EAIO
ASPECT: seafood. CATEGORY: food quality. OPINION: plus. SENTIMENT: positive #####  . i have seafood plus every sunday with my family . ##### EAEO
ASPECT: that eel with. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . i have to have that eel with the foie gras mousse , the potato gnocchi and the duck en canut . ##### EAIO
ASPECT: pizza, mushroom pizza. CATEGORY: food quality, food quality. OPINION: love, love. SENTIMENT: positive, positive #####  . we love pizza especially the mushroom pizza . ##### EAEO
ASPECT: service, value. CATEGORY: service general, restaurant prices. OPINION: lacking, lacking. SENTIMENT: negative, negative #####  . . . we found the service lacking and value lacking too , for what we paid . ##### EAEO
ASPECT: ambiance. CATEGORY: ambience general. OPINION: null. SENTIMENT: positive #####  . if you ' re there for the ambiance , you won ' t be disappointed . ##### EAIO
ASPECT: sushi, service. CATEGORY: food quality, service general. OPINION: great, better. SENTIMENT: positive, positive #####  . sushi was great , service was better . ##### EAEO
ASPECT: customer service. CATEGORY: service general. OPINION: poor. SENTIMENT: negative #####  . my husband and i had a really poor experience at this restaurant with regard to customer service . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  so hurriedly that i did not have time to ask for one . ##### IAIO
ASPECT: chinese food. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . the best chinese food in the city . ##### EAEO
ASPECT: service, service. CATEGORY: service general, service general. OPINION: mediocre, offensive. SENTIMENT: negative, negative #####  . they had mediocre service on top of the offensive things they said . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  : i plan on going back very soon . ##### IAIO
ASPECT: pieces. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: negative #####  . we thought these were pieces of fish in a seafood stew - they were very large and very fishy tasting . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . i will never return . ##### IAIO
ASPECT: food. CATEGORY: food styleoptions. OPINION: plenty of. SENTIMENT: positive #####  . there is plenty of food . ##### EAEO
ASPECT: music. CATEGORY: ambience general. OPINION: casual. SENTIMENT: positive #####  . . . they play a wide variety of music here - it ' s a fun and casual atmosphere . ##### EAEO
ASPECT: mioposto cafe. CATEGORY: restaurant general. OPINION: love. SENTIMENT: positive #####  . i absolutely love mioposto cafe ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: splendid. SENTIMENT: positive #####  . i have to say that splendid was the perfect word to describe our experience . ##### IAEO
ASPECT: cooks. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . the cooks here are the best i ' ve had in a long time . ##### EAIO
ASPECT: null. CATEGORY: restaurant prices. OPINION: average. SENTIMENT: neutral #####  . prices are average . ##### IAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: recommend. SENTIMENT: positive #####  . i would highly recommend this place . ##### EAEO
ASPECT: food. CATEGORY: food quality. OPINION: nice. SENTIMENT: positive #####  . the food is so nice , we ' re definetly going back . ##### EAEO
ASPECT: specials. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . i have had the fish tacos special and it was the best i have ever had . ##### EAIO
ASPECT: pizza. CATEGORY: food quality. OPINION: lacks quality. SENTIMENT: negative #####  . pizza lacks quality ##### EAEO
ASPECT: diverse wine. CATEGORY: drinks styleoptions. OPINION: most. SENTIMENT: positive #####  . most diverse wine list i ' ve ever seen . ##### EAEO
ASPECT: bathroom stall. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: positive #####  . there is a bathroom stall that has a urinal attached to it - very helpful if you ' re the type of person who needs to pee standing up . ##### EAIO
ASPECT: music, bar tenders, atmosphere. CATEGORY: ambience general, drinks styleoptions, ambience general. OPINION: great, generous, lighthearted. SENTIMENT: positive, positive, positive #####  ; i ' m on my honeymoon and we had a great time , the music was so great , the bar tenders are so generous with the drinks , and the atmosphere is so lighthearted . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  we found this restaurant a real treasure . ##### EAIO
ASPECT: sushi. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . i had the best sushi of my life here ! ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . . . i felt like i was holding up the line . ##### IAIO
ASPECT: service, coffee, food. CATEGORY: service general, drinks quality, food quality. OPINION: excellent, good, outstanding. SENTIMENT: positive, positive, positive #####  . . . service was excellent , coffee was good , food was outstanding . ##### EAEO
ASPECT: servers behind the counter, servers behind the counter. CATEGORY: service general, service general. OPINION: friendly, helpful. SENTIMENT: positive, positive #####  . . . the servers behind the counter were friendly and helpful . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . a little greasy but delicious ##### IAEO
ASPECT: location along the marina in long beach, food, customer service. CATEGORY: location general, food quality, service general. OPINION: charming, average, poor. SENTIMENT: positive, neutral, negative #####  . this place is charming , the location along the marina in long beach is picturesque and the ambience inside adds to the charm . . . the food is average at best and customer service can be poor at times . ##### EAEO
ASPECT: food, food, food, food. CATEGORY: food quality, food quality, food quality, food prices. OPINION: fantastic, authentic, delicious, affordable. SENTIMENT: positive, positive, positive, positive #####  . . . the food is fantastic , authentic , delicious and affordable . ##### EAEO
ASPECT: oyster roll. CATEGORY: food quality. OPINION: try. SENTIMENT: positive #####  . you gotta try the oyster roll . ##### EAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: perfect. SENTIMENT: positive #####  . this place is perfect for every occasion ! ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: overrated. SENTIMENT: negative #####  . pratt is overrated ##### IAEO
ASPECT: null. CATEGORY: food styleoptions. OPINION: good. SENTIMENT: positive #####  . they have so many good options . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: exeptional. SENTIMENT: positive #####  . the food is exeptional . ##### EAEO
ASPECT: waitress. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . the waitress seemed to know very little about the menu and wine list . ##### EAIO
ASPECT: dessert. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  i ' m saving up for my next visit and will definitely be stopping by for dessert . ##### EAIO
ASPECT: service. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . i would not go again because the service was so disrespectful . ##### EAIO
ASPECT: seating, service. CATEGORY: restaurant miscellaneous, service general. OPINION: crowded, slow. SENTIMENT: negative, negative #####  , negative ##### EAEO
ASPECT: desserts. CATEGORY: food quality. OPINION: scrumptious. SENTIMENT: positive #####  . you ca n ' t go wrong with any of the desserts . . . they are all scrumptious . ##### EAEO
ASPECT: caeser salad. CATEGORY: food quality. OPINION: love. SENTIMENT: positive #####  . i love the caeser salad . ##### EAEO
ASPECT: servers, young woman. CATEGORY: service general, service general. OPINION: n ' t like, n ' t like. SENTIMENT: negative, negative #####  . if you ' re going to use the fancy servers and the young woman who serves you is n ' t like you , then what ' s the point ? ##### EAEO
ASPECT: pizza ' s, menu. CATEGORY: food styleoptions, food styleoptions. OPINION: thin, creative. SENTIMENT: positive, positive #####  . our creative pizza ' s were a work of art and tasted fabulous ! ##### EAEO
ASPECT: goat cheese gnocchi. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: positive #####  we ordered goat cheese gnocchi which had a sweet and tangy taste . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: disappointed. SENTIMENT: negative #####  . we were soo disappointed . ##### IAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: gem. SENTIMENT: positive #####  . we stumbled upon this place and it is a gem ! ##### EAEO
ASPECT: breakfast. CATEGORY: food quality. OPINION: enjoy. SENTIMENT: positive #####  : i enjoyed my breakfast so much , i will be sure to come back again for another visit . ##### EAEO
ASPECT: caesar salad. CATEGORY: food quality. OPINION: null. SENTIMENT: negative #####  . if the caesar salad is any indication of the rest of the food here , i would n ' t go back . ##### EAIO
ASPECT: food, waiting staff. CATEGORY: food quality, service general. OPINION: fantastic, perfect. SENTIMENT: positive, positive #####  , positive . everyone was on time , the food was fantastic , the waiting staff was perfect . ##### EAEO
ASPECT: ray ' s boathouse. CATEGORY: restaurant general. OPINION: pleased. SENTIMENT: positive #####  . i was so pleased to have found ray ' s boathouse . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . but i do n ' t think it is reasonable to ask for a dessert after you have been offered and accepted a hookah ! ##### IAIO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: negative #####  - be prepared to wait ##### IAIO
ASPECT: atmosphere, decor, decor. CATEGORY: ambience general, ambience general, ambience general. OPINION: aspiring, festive, amazing. SENTIMENT: positive, positive, positive #####  . . . the atmosphere is amazing , the decor is festive and aspiring to be romantic . ##### EAEO
ASPECT: plate. CATEGORY: food quality. OPINION: superb. SENTIMENT: positive #####  . the superb thai fusion plate was a highlight of the meal . ##### EAEO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: negative #####  . you ca n ' t make reservations online . ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: fabulous. SENTIMENT: positive #####  . fabulous ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: great. SENTIMENT: positive #####  . the food is great ##### EAEO
ASPECT: upstairs. CATEGORY: ambience general. OPINION: great. SENTIMENT: positive #####  . i like it upstairs a lot more for that reason . ##### EAEO
ASPECT: standby. CATEGORY: restaurant general. OPINION: best. SENTIMENT: positive #####  . i was put on standby for 15 minutes and it was well worth the wait . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: expensive. SENTIMENT: negative #####  . i found the service expensive as well . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: unforgettable. SENTIMENT: positive #####  . a unforgettable food experience . ##### EAEO
