ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . you definitely will not be disappointed , it is worth the trip from manhattan . ##### IAEO
ASPECT: wine list. CATEGORY: drinks styleoptions. OPINION: extensive. SENTIMENT: positive #####  . i was impressed with the extensive wine list . ##### EAEO
ASPECT: customer service, pizza. CATEGORY: service general, food quality. OPINION: poor, poor. SENTIMENT: negative, negative #####  . this place has poor customer service , and the pizza is a poor excuse for pizza . ##### EAEO
ASPECT: spot. CATEGORY: ambience general. OPINION: cozy. SENTIMENT: positive #####  . this is a cozy little spot . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . would have preferred if he had just asked . ##### IAIO
ASPECT: shoe string onions, goat cheese pizza, grilled asparagus, fried brie with fruit. CATEGORY: food quality, food quality, food quality, food quality. OPINION: good, good, good, good. SENTIMENT: positive, positive, positive, positive #####  . the goat cheese pizza was very good with shoe string onions , goat cheese and grilled asparagus . . . the fried brie with fruit was also very good . ##### EAEO
ASPECT: desert, dinner. CATEGORY: food quality, food quality. OPINION: perfect, perfect. SENTIMENT: positive, positive #####  . they have the perfect desert for dinner . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: good, appetizing. SENTIMENT: positive, positive #####  . this was my first visit and i ' m definitely coming back for more , the food is so good and appetizing . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  . definitely a repeat visit ! ##### IAIO
ASPECT: dessert of a port and chocolate tasting, dessert of a port and chocolate tasting. CATEGORY: food quality, food quality. OPINION: unusual, yummy. SENTIMENT: positive, positive #####  . you ca n ' t go wrong with anything you try here , especially the dessert of a port and chocolate tasting which is unusual but yummy . ##### EAEO
ASPECT: lunch menu. CATEGORY: food prices. OPINION: awesome. SENTIMENT: positive #####  . awesome prices for lunch menu . ##### EAEO
ASPECT: restroom. CATEGORY: restaurant miscellaneous. OPINION: odd. SENTIMENT: negative #####  . i ' ve been there three times , and everytime i ' ve had to wait in line for the restroom - which is odd because there are at least four other restrooms in the restaurant that are always empty . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: charming. SENTIMENT: positive #####  . charming ##### IAEO
ASPECT: atmosphere. CATEGORY: ambience general. OPINION: great. SENTIMENT: positive #####  . overall , the atmosphere was great . ##### EAEO
ASPECT: dungeness crabs. CATEGORY: food styleoptions. OPINION: love. SENTIMENT: positive #####  . i love dungeness crabs . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: good, overpriced. SENTIMENT: positive, negative #####  . . . my husband and i thought the food was good , but overpriced . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  will definitely not return . ##### IAIO
ASPECT: service, service. CATEGORY: service general, service general. OPINION: spendid, delight. SENTIMENT: positive, positive #####  . i have to say i ' m going to rave about this place and spendid service . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  and you should try it too ! ##### IAIO
ASPECT: 9 oz steak. CATEGORY: food quality. OPINION: great. SENTIMENT: positive #####  . my husband had the 9 oz steak which was great . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: yummy. SENTIMENT: positive #####  . the food was yummy . ##### IAEO
ASPECT: artwork, music. CATEGORY: ambience general, ambience general. OPINION: null, null. SENTIMENT: positive, positive #####  this place is all about atmosphere - - - artwork adorning the walls , music playing soft in the background . ##### EAIO
ASPECT: null. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . i found it delicious ! ##### IAEO
ASPECT: sushi, sushi. CATEGORY: food styleoptions, food prices. OPINION: null, null. SENTIMENT: negative, negative #####  . try sushi and you ' ll understand . ##### EAIO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: never too crowded. SENTIMENT: positive #####  . i never hear about it being too crowded . ##### IAEO
ASPECT: pizza ' s, pizza ' s. CATEGORY: food quality, food quality. OPINION: light, scrumptious. SENTIMENT: positive, positive #####  . the pizza ' s are light and scrumptious . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . i think it was well worth the trip . ##### IAEO
ASPECT: open sesame combo plate. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: positive #####  . there is so much good food on the open sesame combo plate ! ##### EAIO
ASPECT: beer, meal. CATEGORY: drinks quality, food quality. OPINION: warm, mediocre. SENTIMENT: negative, negative #####  . . . i had a warm beer and a mediocre meal at this location . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: kudos. SENTIMENT: positive #####  . kudos to the entire staff . ##### IAEO
ASPECT: food. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  . the food was very good . ##### EAIO
ASPECT: seabass on lobster risotto. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . best seabass on lobster risotto i have ever had . ##### EAEO
ASPECT: null. CATEGORY: ambience general. OPINION: null. SENTIMENT: positive #####  : i ' m definitely going back . ##### IAIO
ASPECT: service, waiters. CATEGORY: service general, service general. OPINION: exceptional, friendly. SENTIMENT: positive, positive #####  . the service was exceptional , and the waiters were friendly . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant prices. OPINION: astonished. SENTIMENT: negative #####  . . . the service was the only thing that was anything but perfect - - and even that i felt was somewhat overpriced , given the restaurant . ##### EAEO
ASPECT: location. CATEGORY: location general. OPINION: nice. SENTIMENT: positive #####  . . . located on the upper west side near the river , the view from the restaurant is really nice . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: great. SENTIMENT: positive #####  . the food is always great . ##### IAEO
ASPECT: waiters, waiters. CATEGORY: service general, service general. OPINION: experienced, helpful. SENTIMENT: positive, positive #####  . . . the waiters experienced and helpful . ##### EAEO
ASPECT: fish, fish. CATEGORY: food quality, food quality. OPINION: fresh, thin. SENTIMENT: positive, negative #####  . . . they served the fish , a thick slice of the raw fish . ##### EAEO
ASPECT: italian food. CATEGORY: food quality. OPINION: fabulous. SENTIMENT: positive #####  . we ' ve been coming here for fabulous italian food since it opened . ##### EAEO
ASPECT: balcony. CATEGORY: ambience general. OPINION: null. SENTIMENT: neutral #####  ( i would say this is the most romantic place in nyc if the balcony was enclosed and heated in the winter ) ##### EAIO
ASPECT: null. CATEGORY: service general. OPINION: annoyance. SENTIMENT: negative #####  . if you do n ' t eat quickly you will be charged an extra dollar an hour , which i found quite an annoyance . ##### IAEO
ASPECT: space, space, service. CATEGORY: ambience general, ambience general, service general. OPINION: small, lovely, helpful. SENTIMENT: positive, positive, positive #####  . i have a small space at home that i decorate like this restaurant , so it was lovely to go there and see everything i had imagined for myself , and even get helpful service on top of it . ##### EAEO
ASPECT: dinners. CATEGORY: food quality. OPINION: excellent. SENTIMENT: positive #####  . i have had excellent dinners there everytime . ##### EAEO
ASPECT: nigiri, sashmi. CATEGORY: food quality, food quality. OPINION: null, null. SENTIMENT: positive, positive #####  . i have had better nigiri , sashmi , etc . elsewhere but it is all so good here , you do n ' t have to eat anywhere else in ny . ##### EAIO
ASPECT: food, ambience. CATEGORY: food quality, ambience general. OPINION: excellent, nice. SENTIMENT: positive, positive #####  , positive ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: real, best. SENTIMENT: positive, positive #####  . this is the real deal and the best thai food in the city . ##### EAEO
ASPECT: omikase. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: negative #####  . my wife wanted the omikase but did not want the eel , and the chef ' s choice contained eel . ##### EAIO
ASPECT: breakfast. CATEGORY: food quality. OPINION: love. SENTIMENT: positive #####  . i love the breakfast . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  by the absence of ! ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: over rated. SENTIMENT: negative #####  . over rated ##### IAEO
ASPECT: indian food. CATEGORY: food quality. OPINION: best. SENTIMENT: positive #####  . it is the best indian food in the city . ##### EAEO
ASPECT: null. CATEGORY: food styleoptions. OPINION: null. SENTIMENT: positive #####  . i ' ve had the veggie burger and it was very good , but the portobello mushroom sandwich looked so good i knew i had to try it . ##### IAIO
ASPECT: atmosphere. CATEGORY: ambience general. OPINION: nice. SENTIMENT: positive #####  . i think the atmosphere adds to the nice experience . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food quality. OPINION: good, too mild. SENTIMENT: positive, negative #####  . the food is too mild for my liking . ##### EAEO
ASPECT: hummus. CATEGORY: food quality. OPINION: holy. SENTIMENT: positive #####  . my hummus was holy moly good . ##### EAEO
ASPECT: ambience, place. CATEGORY: ambience general, restaurant general. OPINION: nice, overrated. SENTIMENT: positive, negative #####  . this place is really nice ambience wise , but very overrated . ##### EAEO
ASPECT: service. CATEGORY: service general. OPINION: worst. SENTIMENT: negative #####  . i have to say that the service was the worst i have ever encountered at any restaurant . ##### EAEO
ASPECT: sushi, wait staff. CATEGORY: food quality, service general. OPINION: excellent, quick. SENTIMENT: positive, positive #####  , positive . i ' ve had excellent sushi at other places but the wait staff here makes you feel like the place is your local hang out and the service is quick and reliable . ##### EAEO
ASPECT: restaurant. CATEGORY: restaurant general. OPINION: good. SENTIMENT: positive #####  . i ca n ' t believe how good this restaurant is ! ##### EAEO
ASPECT: sushi. CATEGORY: food quality. OPINION: fresh. SENTIMENT: positive #####  . you can taste the freshness of the sushi . ##### EAEO
ASPECT: owner. CATEGORY: service general. OPINION: belligerent. SENTIMENT: negative #####  . i ca n ' t believe how belligerent the owner was when i called to cancel my reservation . ##### EAEO
ASPECT: lamb korma, saag paneer, samosas, naan. CATEGORY: food quality, food quality, food quality, food quality. OPINION: yummy, yummy, yummy, yummy. SENTIMENT: positive, positive, positive, positive #####  . my wife had the lamb korma and i had the saag paneer , both were yummy . the samosas were also very good and the naan was fresh and cooked on the premises . ##### EAEO
ASPECT: waiter. CATEGORY: service general. OPINION: good. SENTIMENT: positive #####  . i was n ' t charged for any of the drinks or the late night snack that the waiter hooked me up with . ##### EAEO
ASPECT: place. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: positive #####  : this place really does it for me ! ##### EAIO
ASPECT: ray ' s. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  . i have been eating at ray ' s for over 15 years . ##### EAIO
ASPECT: server. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  : this is not a place for a special occasion . . . they do n ' t even have dress code . . . the service is iffy at best . . . the place is a zoo and the server does n ' t seem to give two tusks about it . ##### EAIO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: ackward. SENTIMENT: negative #####  . what a awkward experience ! ##### IAEO
ASPECT: pumpkin ravioli, goat cheese gnocchi, filet mignon on top of spinach and mashed potatoes. CATEGORY: food quality, food quality, food quality. OPINION: loved, loved, loved. SENTIMENT: positive, positive, positive #####  . loved the pumpkin ravioli , loved the goat cheese gnocchi , loved the filet mignon on top of spinach and mashed potatoes . ##### EAEO
ASPECT: food, restaurant staff. CATEGORY: food quality, service general. OPINION: good, indifferent. SENTIMENT: positive, negative #####  . the food is good but the restaurant staff is rather indifferent . ##### EAEO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: positive #####  . never fails to make me feel like i ' m somebody special . ##### IAIO
ASPECT: rolls. CATEGORY: food quality. OPINION: tasty. SENTIMENT: positive #####  . i ' m not much of a sushi person but these rolls were very tasty . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . . . i was n ' t charged for the bottle of wine , but i was charged for the coffee . ##### IAIO
ASPECT: menu. CATEGORY: food styleoptions. OPINION: abbreviated. SENTIMENT: neutral #####  . you can abbreviate your order . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: disappointed. SENTIMENT: negative #####  . i was very disappointed . ##### IAEO
ASPECT: bathroom. CATEGORY: restaurant miscellaneous. OPINION: small. SENTIMENT: negative #####  . i ' ve never seen such a small bathroom in such an expensive restaurant . ##### EAEO
ASPECT: food. CATEGORY: food quality. OPINION: null. SENTIMENT: negative #####  . the food was really greasy . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: good. SENTIMENT: positive #####  . i have a good experience there every time i go . ##### IAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  : they did n ' t even bother to take our order . ##### IAIO
ASPECT: red wine reduction, peppercorn sauce. CATEGORY: food quality, food quality. OPINION: indistinguishable, indistinguishable. SENTIMENT: neutral, neutral #####  the red wine reduction and peppercorn sauce were indistinguishable from what i have had at the source . ##### EAEO
ASPECT: chips, salsa. CATEGORY: food quality, food quality. OPINION: yummy, yummy. SENTIMENT: positive, positive #####  . i go their every sunday and have the yummy chips and salsa . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  : it was brought out on the plate with a flourish and a small fanfare of drums ( i ca n ' t make that up ) . ##### IAIO
ASPECT: service. CATEGORY: service general. OPINION: slow. SENTIMENT: negative #####  . the service was slow . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: worth. SENTIMENT: positive #####  . definitely worth the trip from manhattan ! ##### IAEO
ASPECT: sommelier, sommelier, sommelier. CATEGORY: service general, service general, service general. OPINION: fantastic, down - to - earth, knowlegable. SENTIMENT: positive, positive, positive #####  ; fantastic sommelier - down to earth , knowlegable , and extremely helpful in making choices . ##### EAEO
ASPECT: owner. CATEGORY: service general. OPINION: dismissive. SENTIMENT: negative #####  . i was with three other people and the owner was very dismissive of our concerns . ##### EAEO
ASPECT: bar keep. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . i asked for the check and the bar keep just handed me the bill without writing anything down . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: excellent. SENTIMENT: positive #####  . i have a feeling that this is an excellent find . ##### IAEO
ASPECT: null. CATEGORY: food quality. OPINION: null. SENTIMENT: positive #####  it was the best hot dog i have had in a long time . ##### IAIO
ASPECT: bar. CATEGORY: restaurant general. OPINION: best. SENTIMENT: positive #####  . i go to the bar and it ' s the best value you ca n ' t get in manhattan . ##### EAEO
ASPECT: seafood, seafood. CATEGORY: food styleoptions, food quality. OPINION: ok, ok. SENTIMENT: neutral, neutral #####  . if the seafood is ok , ok for you . ##### EAEO
ASPECT: food, food. CATEGORY: food quality, food prices. OPINION: reasonably, reasonably. SENTIMENT: positive, positive #####  . we got a large of reasonably priced food for $ 11 . ##### EAEO
ASPECT: spot, spot. CATEGORY: restaurant miscellaneous, ambience general. OPINION: perfect, perfect. SENTIMENT: positive, positive #####  . i ca n ' t believe how perfect this spot is . ##### EAEO
ASPECT: drinks. CATEGORY: drinks quality. OPINION: suberb. SENTIMENT: positive #####  . the drinks are suberb . ##### EAEO
ASPECT: waiter. CATEGORY: service general. OPINION: dismissive. SENTIMENT: negative #####  . i have to say that the waiter was very dismissive , and made me feel like i was wasting his time by asking for recommendations . ##### EAEO
ASPECT: null. CATEGORY: ambience general. OPINION: romantic. SENTIMENT: positive #####  . very romantic . ##### IAEO
ASPECT: null. CATEGORY: restaurant prices. OPINION: null. SENTIMENT: positive #####  , and the price is right . ##### IAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: addicting. SENTIMENT: positive #####  . it is a little off the beaten track but trust me , it is addicting . ##### IAEO
ASPECT: fajita salad, colorado, fajitas. CATEGORY: food quality, food quality, food quality. OPINION: delicious, delicious, delicious. SENTIMENT: positive, positive, positive #####  , they do n ' t skimp on the fajita salad , which is delicious . ##### EAEO
ASPECT: pizza, salads. CATEGORY: food quality, food quality. OPINION: delicious, fantastic. SENTIMENT: positive, positive #####  . i was a little surprised to find this pizza place tucked away in this part of manhattan ( the neighborhood is a bit rough around the edges ) but after one bite i knew i had stumbled across something special . . . the pizza and salads are delicious and fantastic . ##### EAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: great. SENTIMENT: positive #####  . this place is great ! ##### EAEO
ASPECT: brocollis, brocollis. CATEGORY: food quality, food quality. OPINION: fresh, tasty. SENTIMENT: positive, positive #####  ; it has fresh brocollis that actually tastes like brocollis . ##### EAEO
ASPECT: jellyfish, horse mackerel, blue fin tuna, sake ikura roll. CATEGORY: food quality, food quality, food quality, food quality. OPINION: good, good, good, good. SENTIMENT: positive, positive, positive, positive #####  . it has jellyfish , horse mackerel , blue fin tuna , sake ikura roll - all good . ##### EAEO
ASPECT: food. CATEGORY: food quality. OPINION: disappointed. SENTIMENT: negative #####  . we were very disappointed with the food . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . please do n ' t waste your time . ##### IAIO
ASPECT: egg white omelet, food. CATEGORY: food quality, food quality. OPINION: freshly prepared, freshly prepared. SENTIMENT: positive, positive #####  . the egg white omelet is freshly prepared for you on the spot . ##### EAEO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: neutral #####  . it was taken by the waiter . ##### IAIO
ASPECT: ray ' s boathouse. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  and so what if its a bit noisy and crowded ? ##### EAIO
ASPECT: band. CATEGORY: ambience general. OPINION: fun. SENTIMENT: negative #####  . i saw the band , which was fun but i ca n ' t imagine going there again . ##### EAEO
ASPECT: null, null. CATEGORY: food quality, food quality. OPINION: tastly, flaky. SENTIMENT: positive, positive #####  . it ' s tastly , flaky and you can have it with or without the bagel . ##### IAEO
ASPECT: place, place, food. CATEGORY: ambience general, ambience general, food quality. OPINION: relax, enjoy, finest quality. SENTIMENT: positive, positive, positive #####  . i came across this place by accident , and i ' m so glad i did , this is the finest quality italian food i have enjoyed in any place . . . so go relax and enjoy it ! ##### EAEO
ASPECT: mango ginger creme brulee. CATEGORY: food quality. OPINION: yummy. SENTIMENT: positive #####  . try the mango ginger creme brulee for dessert - yummy ! ##### EAEO
ASPECT: delivery. CATEGORY: service general. OPINION: appreciate. SENTIMENT: positive #####  . i appreciate the delivery . ##### EAEO
ASPECT: environment, environment. CATEGORY: ambience general, ambience general. OPINION: warm, cosy. SENTIMENT: positive, positive #####  : i must say i was pleasantly surprised by the environment - warm and cosy on a cold winters evening . ##### EAEO
ASPECT: null. CATEGORY: restaurant prices. OPINION: overpriced. SENTIMENT: negative #####  . my wife and i were really looking forward to going here but were completely overpriced for the food and service we received . ##### IAEO
ASPECT: place, place. CATEGORY: ambience general, ambience general. OPINION: charming, relaxing. SENTIMENT: positive, positive #####  . . . this is such a charming and relaxing place . ##### EAEO
ASPECT: pizza. CATEGORY: food quality. OPINION: problem. SENTIMENT: negative #####  . . . i had pizza for the first time in new york and it was a big problem . ##### EAEO
ASPECT: ambiance, ambiance. CATEGORY: ambience general, ambience general. OPINION: peaceful, relaxing. SENTIMENT: positive, positive #####  . . . what really sets it apart is the ambiance , which is incredibly peaceful and relaxing . ##### EAEO
ASPECT: service. CATEGORY: service general. OPINION: awesome. SENTIMENT: positive #####  . the service is awesome . ##### EAEO
ASPECT: waiter. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  . the waiter came over and poured us each a glass of wine from the list of recommended wines . ##### EAIO
ASPECT: bottle of wine. CATEGORY: drinks quality. OPINION: great. SENTIMENT: positive #####  . i ca n ' t imagine a better way to spend a saturday evening than with a few friends , a bottle of wine , and some delicious italian food . ##### EAEO
ASPECT: service, service. CATEGORY: service general, service general. OPINION: courteous, attentive. SENTIMENT: positive, positive #####  . i was offered an open faced cheese sandwich , which i did n ' t know they had , which was courteous and attentive of the waiter . ##### EAEO
ASPECT: null, null. CATEGORY: restaurant prices, location general. OPINION: cheap, cheap. SENTIMENT: positive, positive #####  . go here for cheap eats and fun . ##### IAEO
ASPECT: spot. CATEGORY: restaurant general. OPINION: favorite. SENTIMENT: positive #####  . i keep coming back to this spot as one of my favorite restaurants in nyc . ##### EAEO
ASPECT: pancakes, pancakes. CATEGORY: food styleoptions, food prices. OPINION: null, null. SENTIMENT: negative, negative #####  . there are many places that serve pancakes for $ 3 - $ 4 , so these $ 8 - $ 10 pancakes are a bit rich for my blood . ##### EAIO
ASPECT: null. CATEGORY: food quality. OPINION: delicious. SENTIMENT: positive #####  . everyone raves about how delicious it is . ##### IAEO
ASPECT: place. CATEGORY: restaurant general. OPINION: null. SENTIMENT: negative #####  . this place will leave you wishing you could take back your dining experience . ##### EAIO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  you will definitely return . ##### IAIO
ASPECT: null. CATEGORY: service general. OPINION: null. SENTIMENT: negative #####  . i have been there many times and every single time i ' ve been charged a different amount . ##### IAIO
ASPECT: null. CATEGORY: restaurant miscellaneous. OPINION: null. SENTIMENT: negative #####  ! beware of the service ! ##### IAIO
ASPECT: saag, paneer, korma. CATEGORY: food quality, food quality, food quality. OPINION: recommend, recommend, recommend. SENTIMENT: positive, positive, positive #####  i recommend the saag paneer and the korma . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: super. SENTIMENT: positive #####  : what a super duper delight . ##### IAEO
ASPECT: prawns, batter, walnuts, walnuts. CATEGORY: food quality, food quality, food quality, food quality. OPINION: fresh, crispiness, crunchy, tasty. SENTIMENT: positive, positive, positive, positive #####  . i had the prawns , batter was light and crispiness , crunchy walnuts tasted great . ##### EAEO
ASPECT: spanish mackeral special appetizer, box sushi. CATEGORY: food quality, food quality. OPINION: amazing, perfect. SENTIMENT: positive, positive #####  . spanish mackeral special appetizer was amazing , box sushi was perfect . ##### EAEO
ASPECT: server. CATEGORY: service general. OPINION: attentive. SENTIMENT: positive #####  . . . we were greeted promptly and attentively by the server . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: reliable. SENTIMENT: positive #####  . this is a reliable bet ! ##### IAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  keep on coming back ##### IAIO
ASPECT: seafood dinners. CATEGORY: food quality. OPINION: high quality. SENTIMENT: positive #####  . the seafood dinners are of high quality . ##### EAEO
ASPECT: restaurant, decor, customer service, manager. CATEGORY: restaurant general, ambience general, service general, service general. OPINION: best, great, great, friendly. SENTIMENT: positive, positive, positive, positive #####  . i have to say that this is one of the best restaurant on the upper east side , great decor , great customer service , even the manager is friendly and accommodating . ##### EAEO
ASPECT: service. CATEGORY: service general. OPINION: decent. SENTIMENT: neutral #####  . overall , i thought the service was decent . ##### EAEO
ASPECT: food, margaritas. CATEGORY: food quality, drinks quality. OPINION: great, better. SENTIMENT: positive, positive #####  . this place has great food and better margaritas . ##### EAEO
ASPECT: bartender. CATEGORY: service general. OPINION: null. SENTIMENT: positive #####  : he made my evening . ##### EAIO
ASPECT: pizza ensalata. CATEGORY: food quality. OPINION: try. SENTIMENT: positive #####  . try the pizza ensalata . ##### EAEO
ASPECT: sushi, sushi, sushi, sushi, sushi, sushi. CATEGORY: food quality, food quality, food quality, food quality, food quality, food quality. OPINION: best, delicious, amazing, fantastic, suculent, perfect. SENTIMENT: positive, positive, positive, positive, positive, positive #####  . the sushi here is amazing , delicious , the best i have ever had , the perfect combination of suculent , fresh fish , and rice , fantastic . ##### EAEO
ASPECT: null. CATEGORY: restaurant general. OPINION: null. SENTIMENT: positive #####  ca n ' t wait to go back again . ##### IAIO
ASPECT: menu. CATEGORY: food quality. OPINION: excellent. SENTIMENT: positive #####  . i had the menu , which was an excellent choice . ##### EAEO
ASPECT: null. CATEGORY: food quality. OPINION: good. SENTIMENT: positive #####  . i have been coming here for about 10 years and it remains good . ##### IAEO
